STATE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
TX,8,12,5,4,7,7,15,4,8,6,5,7,2
OH,17,25,21,30,20,18,40,24,19,23,18,14,
NY,5,8,16,10,5,9,12,8,6,13,7,11,7
NM,42,49,48,49,41,34,51,42,50,45,53,70,49
VA,7,4,8,6,8,8,7,4,9,9,2,7,5
PA,4,10,7,11,3,2,7,11,6,11,7,6,7
TX,17,21,18,16,15,22,15,17,11,25,16,11,14
NY,1,0,0,0,1,1,1,6,1,1,1,0,0
CA,16,11,14,19,27,20,25,35,33,24,25,14,15
AK,14,17,15,13,11,10,25,17,23,22,29,25,23
MI,4,3,4,0,3,1,2,1,2,4,3,1,0
TX,18,22,18,13,11,8,26,16,7,18,9,17,12
CO,2,2,2,3,1,1,0,0,1,6,1,1,
GA,145,186,207,217,246,231,205,198,203,191,184,196,150
CO,10,11,20,15,7,8,11,16,19,15,18,11,17
IL,4,9,1,12,9,11,13,14,17,13,24,26,20
TX,52,48,39,43,31,46,49,37,37,37,46,40,40
CA,17,22,20,22,14,25,20,16,27,35,29,25,22
MD,213,240,226,234,262,305,304,335,353,321,322,330,312
LA,36,51,34,24,41,49,58,58,73,64,65,71,58
TX,11,14,18,11,22,19,15,23,23,25,14,15,11
CA,11,13,11,14,11,11,14,12,8,8,10,8,11
AL,97,88,84,92,100,125,139,133,121,135,121,113,108
ID,3,0,2,5,0,3,3,5,3,4,3,1,4
MA,87,105,76,93,99,143,113,73,98,85,96,59,43
CT,30,40,37,43,36,57,51,57,60,50,33,44,34
TX,9,6,8,9,14,13,18,15,17,12,7,11,8
NY,31,35,35,43,37,37,50,76,76,90,62,56,46
CA,2,4,6,9,2,2,6,7,5,5,6,4,0
MA,0,4,2,6,6,3,5,2,2,1,3,1,2
IA,2,2,3,2,5,1,,,,,,0,
AZ,0,3,1,2,1,1,7,2,0,6,9,2,3
NC,56,53,52,46,73,93,114,99,122,87,89,71,59
TN,26,25,26,22,14,32,49,31,38,43,28,21,36
VA,13,10,7,12,14,7,11,9,13,19,10,13,11
IL,666,744,687,660,742,850,925,939,845,928,824,789,757
CA,3,2,5,8,4,7,8,7,14,7,12,5,8
OH,45,46,69,47,45,49,54,49,39,38,50,32,
FL,3,6,5,,8,4,2,2,3,4,4,2,2
OH,131,124,145,137,144,168,175,157,167,132,129,103,77
CO,13,23,15,10,9,9,25,17,19,14,18,12,24
SC,12,11,15,8,12,22,25,15,22,19,10,19,12
OH,72,78,85,69,90,89,138,113,105,100,77,89,84
GA,23,28,19,21,24,23,23,15,32,20,20,15,14
CA,3,6,3,5,3,3,3,5,5,4,4,4,0
TX,29,35,20,26,19,29,32,30,34,13,31,18,18
CA,1,3,1,4,2,6,2,8,5,6,2,1,3
TX,301,347,323,366,351,447,500,387,317,295,276,217,209
OH,30,51,35,44,53,47,54,57,49,57,39,38,34
CO,72,91,79,69,55,67,88,95,74,81,81,64,69
IA,7,18,14,13,12,16,,7,9,12,19,19,11
MI,635,648,686,629,624,582,615,595,579,541,475,428,469
CA,2,7,5,5,4,1,8,5,3,9,7,7,7
NC,19,20,14,16,11,23,30,31,26,35,24,41,33
CA,8,15,12,8,10,9,13,17,19,16,30,9,7
TX,22,46,25,31,41,34,49,44,47,44,37,30,24
NJ,11,15,10,12,15,11,11,13,17,11,18,13,7
PA,5,3,5,1,3,2,7,3,7,8,6,6,4
CA,3,5,4,6,6,4,11,8,8,9,11,7,6
OR,1,8,3,1,3,1,0,2,3,2,3,2,2
IN,9,4,4,7,6,6,12,8,7,8,5,7,7
MI,47,61,52,44,59,55,52,52,48,58,41,40,19
CA,1,8,7,4,9,11,13,18,14,19,13,16,12
CO,7,4,2,1,2,2,0,1,1,1,2,3,1
FL,43,39,53,,30,31,26,12,31,33,27,34,16
IN,21,16,5,11,14,17,23,18,28,38,23,13,36
TX,128,200,135,97,113,130,195,153,133,132,108,68,74
CA,3,5,1,2,2,2,2,6,4,6,2,3,4
CA,46,53,33,39,42,66,52,81,87,84,71,69,60
CA,5,3,2,6,8,6,3,4,2,6,6,5,2
CA,13,12,10,8,8,16,7,5,13,7,6,5,3
TX,5,15,5,8,9,11,13,15,12,10,7,14,4
IN,61,46,44,52,45,65,59,82,105,80,96,104,98
CA,4,5,6,6,7,3,8,7,9,5,8,14,6
AZ,9,7,13,12,6,15,8,12,16,3,9,11,13
TX,11,8,6,7,10,5,7,9,9,14,12,3,9
MI,19,21,15,24,13,18,22,13,33,23,24,20,25
WI,1,4,3,2,2,3,2,1,2,4,4,3,6
NC,13,18,18,16,24,20,35,23,27,21,36,23,35
VA,6,6,10,6,11,14,14,10,14,11,14,10,6
CT,12,28,24,37,30,19,24,13,30,55,33,20,21
CA,6,5,3,8,6,4,10,5,8,12,12,12,7
NV,3,1,0,1,1,8,0,9,1,4,3,7,2
FL,24,21,12,,28,14,27,9,,,17,12,12
FL,5,11,7,,8,11,7,5,9,8,5,10,9
HI,36,46,36,28,,34,29,31,31,35,38,27,34
TX,457,408,323,440,459,568,608,465,446,375,316,261,254
CA,4,7,6,5,5,5,6,8,3,5,8,0,5
AL,11,19,16,15,12,18,9,20,18,18,10,11,16
MO,1,4,3,4,4,1,5,1,4,6,2,1,6
IN,59,63,57,79,41,58,95,88,68,108,82,114,118
CA,27,32,30,30,45,55,46,37,45,46,40,27,25
CA,2,3,2,1,2,0,0,3,1,1,2,1,1
TX,12,18,14,6,11,13,18,14,8,14,5,8,6
MS,38,33,52,48,48,44,74,63,83,91,92,67,61
FL,90,119,147,,165,176,119,123,125,106,86,85,75
NJ,32,19,19,23,36,28,22,25,20,37,25,26,26
MO,91,116,131,134,140,121,135,150,153,142,107,104,100
TN,16,29,20,21,26,25,35,35,14,24,19,23,19
LA,3,12,9,9,7,5,8,17,18,6,8,8,15
CO,1,5,5,1,2,3,3,2,6,5,6,4,2
CA,6,4,2,4,2,4,14,10,7,10,9,12,7
MI,6,6,8,11,16,11,12,7,14,10,13,10,16
TX,15,20,11,15,11,14,15,21,21,24,14,11,11
NV,57,75,47,54,67,79,103,99,91,105,118,161,
KY,7,24,12,,11,20,13,18,8,23,14,14,24
NB,7,3,10,6,4,3,0,7,4,2,2,3,7
AR,32,38,28,29,48,33,46,56,68,56,53,29,34
MI,3,1,0,0,2,1,0,0,1,1,1,2,0
CA,63,62,62,58,85,106,94,104,126,80,80,95,56
CA,777,834,811,736,877,983,1027,1094,1076,845,849,711,576
KY,30,42,43,,32,39,43,39,37,52,50,63,62
TX,20,28,24,24,15,16,18,14,17,20,19,15,6
GA,17,16,14,18,24,21,32,36,20,31,25,18,23
WI,4,3,6,6,7,3,2,3,2,4,5,1,3
