JUD_DIST,COUNTY,STATE,FIPS,LONGITUDE,LATITUDE,POP1990,POP90_SQMI,HOUSEHOLDS,MALES,FEMALES,WHITE,BLACK,AMERI_ES,ASIAN_PI,OTHER,HISPANIC,AGE_UNDER5,AGE_5_17,AGE_18_64,AGE_65_UP,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,MEDIAN_VAL,MEDIANRENT
AK D,Aleutians East,Alaska,2013,-161.8740006,55.6420784,2464,0.35,533,1582,882,827,16,1042,463,116,180,181,366,1859,58,693,160,327,206,85700,518
AK D,Aleutians West,Alaska,2016,-166.7737015,53.62332535,9478,2.15,1845,6238,3240,6360,662,1076,979,401,742,779,1104,7513,82,2051,206,330,1515,80100,428
AK D,Anchorage,Alaska,2020,-149.2609787,61.11357498,226338,130.68,82702,116367,109971,182736,14544,14569,10910,3579,9258,21499,45189,151392,8258,94153,11451,43672,39030,109700,528
AK D,Bethel,Alaska,2050,-163.0226746,60.44192696,13656,0.38,3605,7155,6501,2105,62,11370,91,28,80,1865,3467,7667,657,4362,757,2118,1487,51900,460
AK D,Bristol Bay,Alaska,2060,-156.7888794,58.75788498,1410,2.66,407,845,565,894,38,455,12,11,33,123,259,986,42,596,189,198,209,102000,464
AK D,Dillingham,Alaska,2070,-158.6622009,59.70124435,4012,0.22,1215,2076,1936,1019,8,2925,27,33,49,560,944,2303,205,1691,476,768,447,63300,518
AK D,Fairbanks North Star,Alaska,2090,-146.2748413,64.85444641,77720,10.5,26693,41506,36214,63751,5553,5330,1998,1088,2899,8086,16251,50843,2540,31823,5130,13091,13602,87300,471
AK D,Haines,Alaska,2100,-135.4092865,58.98894691,2117,0.89,791,1130,987,1802,1,279,17,18,27,155,437,1343,182,1112,321,514,277,81000,405
AK D,Juneau,Alaska,2110,-134.1646423,58.38117027,26751,10.19,9902,13575,13176,21570,292,3462,1154,273,749,2410,5440,17537,1364,10638,736,5764,4138,113500,587
AK D,Kenai Peninsula,Alaska,2122,-152.8581009,60.06590271,40802,2.54,14250,21606,19196,37089,203,2935,428,147,726,3795,9601,25391,2015,19364,5114,9677,4573,85100,410
AK D,Ketchikan Gateway,Alaska,2130,-131.4002686,55.54430008,13828,11.13,5030,7217,6611,11316,55,1898,493,66,285,1211,2911,8799,907,5463,433,2819,2211,112600,533
AK D,Kodiak Island,Alaska,2150,-155.0099335,58.02614021,13309,2.78,4083,7395,5914,9289,135,2126,1492,267,663,1403,2728,8753,425,4885,802,2043,2040,111500,602
AK D,Lake and Peninsula,Alaska,2164,-156.6463928,58.28878212,1668,0.07,509,911,757,389,0,1261,12,6,32,213,421,949,85,991,482,354,155,67100,417
AK D,Matanuska-Susitna,Alaska,2170,-149.7134018,62.3296299,39683,1.62,13394,20605,19078,36949,307,1939,297,191,752,3873,10140,23804,1866,20953,7559,9821,3573,71500,430
AK D,Nome,Alaska,2180,-165.6171036,64.76674652,8288,0.35,2371,4480,3808,2023,9,6148,55,53,106,1073,2102,4694,419,3684,1313,1347,1024,56700,546
AK D,North Slope,Alaska,2185,-153.9149094,69.70281219,5979,0.07,1673,3258,2721,1274,41,4336,285,43,124,830,1408,3544,197,2153,480,670,1003,80700,600
AK D,Northwest Arctic,Alaska,2188,-159.7144165,66.8572464,6113,0.17,1526,3224,2889,841,12,5209,48,3,36,960,1672,3200,281,1998,472,884,642,62800,627
AK D,Prince of Wales-Outer Ketchikan,Alaska,2201,-130.5145964,55.58362961,6278,0.82,2061,3545,2733,3859,9,2358,28,24,121,585,1443,4034,216,2543,482,1247,814,63300,329
AK D,Sitka,Alaska,2220,-135.144455,56.84790802,8588,2.92,2939,4504,4084,6359,39,1797,333,60,209,764,1871,5461,492,3222,283,1644,1295,120000,520
AK D,Skagway-Yakutat-Angoon,Alaska,2231,-136.6809616,58.68082809,4385,0.33,1422,2420,1965,2649,7,1670,32,27,67,392,1042,2716,235,2102,680,771,651,65200,306
AK D,Southeast Fairbanks,Alaska,2240,-144.350235,63.8672905,5913,0.24,1909,3187,2726,4670,290,770,82,101,177,601,1507,3582,223,3149,1240,1161,748,54900,389
AK D,Valdez-Cordova,Alaska,2261,-144.869606,61.49766922,9952,0.25,3425,5471,4481,8247,57,1245,324,79,270,881,2023,6585,463,5196,1771,2210,1215,97100,457
AK D,Wade Hampton,Alaska,2270,-163.199028,62.09849739,5791,0.33,1368,3007,2784,346,12,5405,23,5,17,1040,1614,2879,258,1882,514,929,439,42400,359
